Player,From,To,PlayerId
Deng Adel,2019,2019,adelde01
Gary Alexander,1994,1994,alexaga01
Jarrett Allen,2021,2023,allenja01
Lance Allred,2008,2008,allrela01
John Amaechi,1996,1996,amaecjo01
Lou Amundson,2015,2015,amundlo01
Chris Andersen,2017,2017,anderch01
Cliff Anderson,1971,1971,andercl01
Derek Anderson,1998,1999,anderde01
Justin Anderson,2022,2022,anderju01
Ron Anderson,1985,1986,anderro01
Martynas Andriuškevičius,2006,2006,andrima01
Miloš Babić,1991,1991,babicmi01
John Bagley,1983,1987,baglejo01
Tony Battie,2004,2004,battito01
John Battle,1992,1995,battljo01
Butch Beard,1972,1976,beardbu01
Benoit Benjamin,2000,2000,benjabe01
Anthony Bennett,2014,2014,bennean01
Elmer Bennett,1995,1995,benneel01
Mel Bennett,1982,1982,benneme01
Winston Bennett,1990,1992,bennewi01
Kent Benson,1988,1988,bensoke01
Jaron Blossomgame,2019,2019,blossja01
Corie Blount,1999,1999,blounco01
Andrew Bogut,2017,2017,bogutan01
Etdrick Bohannon,2001,2001,bohanet01
Marques Bolden,2020,2021,boldema01
Carlos Boozer,2003,2004,boozeca01
Earl Boykins,1999,2000,boykiea01
A.J. Bramlett,2000,2000,bramlaj01
Terrell Brandon,1992,1997,brandte01
Brad Branson,1982,1982,bransbr01
Mike Bratz,1981,1981,bratzmi01
J.R. Bremer,2004,2004,bremejr01
Jim Brewer,1974,1979,breweji01
Ron Brewer,1982,1986,brewero01
Gary Brokaw,1977,1977,brokaga01
Scott Brooks,1998,1998,brooksc01
Chucky Brown,1990,2001,brownch01
Devin Brown,2008,2008,brownde02
Kedrick Brown,2004,2004,brownke01
Moses Brown,2022,2022,brownmo01
Shannon Brown,2007,2008,brownsh01
Tierre Brown,2003,2003,brownti01
Mark Bryant,2000,2000,bryanma01
Alec Burks,2019,2019,burksal01
Mitchell Butler,1998,1999,butlemi02
Andrew Bynum,2014,2014,bynuman01
Michael Cage,1995,1996,cagemi01
José Calderón,2018,2018,caldejo01
Mack Calvin,1981,1981,calvima01
Tony Campbell,1995,1995,campbto01
Austin Carr,1972,1980,carrau01
Kenny Carr,1980,1982,carrke01
Omri Casspi,2012,2013,casspom01
Len Chappell,1971,1971,chapple01
Will Cherry,2015,2015,cherrwi01
Derrick Chievous,1990,1991,chievde01
Pete Chilcutt,2000,2000,chilcpe01
