Player,From,To,PlayerId
Michael Adams,1995,1996,adamsmi01
Rafael Addison,1996,1997,addisra01
Jeff Adrien,2013,2014,adrieje01
Alexis Ajinça,2009,2010,ajincal01
Cory Alexander,2005,2005,alexaco01
Malik Allen,2005,2005,allenma01
Alan Anderson,2006,2007,anderal01
Derek Anderson,2007,2008,anderde01
Kenny Anderson,1996,1996,anderke01
Richard Anderson,1990,1990,anderri01
Michael Ansley,1992,1992,anslemi01
B.J. Armstrong,1998,1999,armstbj01
Stacey Augmon,2002,2002,augmost01
D.J. Augustin,2009,2012,augusdj01
Dwayne Bacon,2018,2020,bacondw01
LaMelo Ball,2021,2023,ballla01
Nicolas Batum,2016,2020,batumni01
Lonny Baxter,2006,2006,baxtelo01
Corey Beck,1996,1999,beckco01
Marco Belinelli,2017,2017,belinma01
Raja Bell,2009,2010,bellra01
Tony Bennett,1993,1995,benneto01
Bismack Biyombo,2012,2021,biyombi01
James Blackwell,1995,1995,blackja01
Keith Bogans,2005,2006,boganke01
Muggsy Bogues,1989,1998,boguemu01
James Bouknight,2022,2023,bouknja01
Earl Boykins,2008,2008,boykiea01
Primož Brezec,2005,2008,brezepr01
Frank Brickowski,1994,1994,brickfr01
Miles Bridges,2019,2022,bridgmi02
Andre Brown,2009,2009,brownan01
Chucky Brown,1999,2000,brownch01
Derrick Brown,2010,2012,brownde04
Kwame Brown,2011,2011,brownkw01
P.J. Brown,2001,2002,brownpj01
Shannon Brown,2009,2009,brownsh01
Matt Bullard,2002,2002,bullama01
Kevin Burleson,2006,2006,burleke01
Scott Burrell,1994,2001,burresc01
Willie Burton,1999,1999,burtowi01
Elden Campbell,1999,2002,campbel01
Vernon Carey Jr.,2021,2022,careyve01
Matt Carroll,2005,2013,carroma01
Michael Carter-Williams,2018,2018,cartemi01
Tom Chambers,1997,1997,chambto01
Tyson Chandler,2010,2010,chandty01
Rex Chapman,1989,1992,chapmre01
Joe Chealey,2019,2020,chealjo01
Derrick Coleman,1999,2001,colemde01
Sherron Collins,2011,2011,collish01
Marty Conlon,1994,1994,conloma01
Dante Cunningham,2011,2011,cunnida01
Earl Cureton,1989,1991,curetea01
Dell Curry,1989,1998,curryde01
Troy Daniels,2015,2016,danietr01
Nate Darling,2021,2021,darlina01
Jermareo Davidson,2008,2008,davidje01
Baron Davis,2000,2002,davisba01
Ricky Davis,1999,2000,davisri01
Tony Delk,1997,1998,delkto01
Boris Diaw,2009,2012,diawbo01
DeSagana Diop,2009,2013,diopde01
Vlade Divac,1997,1998,divacvl01
Chris Douglas-Roberts,2014,2014,douglch01
Terry Dozier,1990,1990,doziete01
